CMDLINE /usr/bin/python task3.py
MEM 0.605469 1769430662.8474
MEM 25.859375 1769430662.9477
MEM 37.308594 1769430663.0480
MEM 47.574219 1769430663.1482
MEM 58.128906 1769430663.2485
MEM 78.503906 1769430663.3488
MEM 106.789062 1769430663.4492
MEM 135.085938 1769430663.5495
MEM 143.292969 1769430663.6498
MEM 143.324219 1769430663.7501
MEM 143.363281 1769430663.8504
MEM 143.406250 1769430663.9506
MEM 143.453125 1769430664.0508
MEM 143.496094 1769430664.1511
MEM 143.539062 1769430664.2514
MEM 143.582031 1769430664.3517
MEM 143.628906 1769430664.4520
MEM 143.671875 1769430664.5523
MEM 143.718750 1769430664.6525
MEM 143.761719 1769430664.7527
MEM 143.808594 1769430664.8530
MEM 143.855469 1769430664.9532
MEM 143.898438 1769430665.0534
MEM 143.945312 1769430665.1537
MEM 143.992188 1769430665.2539
MEM 144.039062 1769430665.3541
MEM 144.082031 1769430665.4544
MEM 144.128906 1769430665.5547
MEM 144.171875 1769430665.6551
MEM 144.214844 1769430665.7553
MEM 144.261719 1769430665.8556
MEM 144.308594 1769430665.9558
MEM 144.351562 1769430666.0561
MEM 144.398438 1769430666.1564
MEM 144.445312 1769430666.2566
MEM 144.488281 1769430666.3569
MEM 144.539062 1769430666.4572
MEM 144.585938 1769430666.5574
MEM 144.632812 1769430666.6576
MEM 144.679688 1769430666.7579
MEM 144.726562 1769430666.8581
MEM 144.773438 1769430666.9583
MEM 144.820312 1769430667.0585
MEM 144.871094 1769430667.1587
MEM 144.917969 1769430667.2590
MEM 144.960938 1769430667.3592
MEM 145.007812 1769430667.4595
MEM 145.054688 1769430667.5597
MEM 145.105469 1769430667.6599
MEM 145.152344 1769430667.7601
MEM 145.199219 1769430667.8604
FUNC __main__.calc_pure_python 59.0156 1769430663.2775 62.9336 1769430670.5980 0
FUNC __main__.calculate_z_serial_purepython 135.6602 1769430663.5517 146.3633 1769430670.5444 1
MEM 145.246094 1769430667.9606
MEM 145.292969 1769430668.0608
MEM 145.339844 1769430668.1611
MEM 145.386719 1769430668.2613
MEM 145.429688 1769430668.3615
MEM 145.472656 1769430668.4617
MEM 145.519531 1769430668.5619
MEM 145.566406 1769430668.6622
MEM 145.613281 1769430668.7623
MEM 145.660156 1769430668.8625
MEM 145.707031 1769430668.9627
MEM 145.750000 1769430669.0630
MEM 145.796875 1769430669.1633
MEM 145.839844 1769430669.2635
MEM 145.886719 1769430669.3637
MEM 145.929688 1769430669.4640
MEM 145.976562 1769430669.5642
MEM 146.023438 1769430669.6644
MEM 146.070312 1769430669.7646
MEM 146.113281 1769430669.8649
MEM 146.160156 1769430669.9651
MEM 146.203125 1769430670.0654
MEM 146.246094 1769430670.1656
MEM 146.289062 1769430670.2658
MEM 146.328125 1769430670.3661
MEM 146.359375 1769430670.4664
MEM 137.746094 1769430670.5670
MEM 60.445312 1769430670.6674
