FUNC __main__.evolve 61.9531 1769442023.9898 77.6758 1769442024.3279 1
FUNC __main__.evolve 77.6797 1769442024.3292 90.2578 1769442024.6750 1
FUNC __main__.evolve 79.2578 1769442024.6850 90.2578 1769442025.0206 1
FUNC __main__.evolve 80.2578 1769442025.0315 90.2578 1769442025.3674 1
FUNC __main__.evolve 80.2578 1769442025.3771 90.2578 1769442025.7131 1
FUNC __main__.evolve 81.2578 1769442025.7227 90.2578 1769442026.0582 1
FUNC __main__.evolve 81.2617 1769442026.0679 90.2617 1769442026.4035 1
FUNC __main__.evolve 82.2617 1769442026.4130 90.2617 1769442026.7483 1
FUNC __main__.evolve 82.2617 1769442026.7579 90.2617 1769442027.0951 1
FUNC __main__.evolve 83.2617 1769442027.1046 90.2617 1769442027.4398 1
FUNC __main__.run_experiment 58.8984 1769442023.9874 76.2617 1769442027.4586 0
CMDLINE /usr/bin/python task5.py
MEM 0.683594 1769442023.4082
MEM 22.242188 1769442023.5086
MEM 31.210938 1769442023.6090
MEM 40.429688 1769442023.7093
MEM 47.089844 1769442023.8096
MEM 56.191406 1769442023.9100
MEM 65.835938 1769442024.0104
MEM 69.699219 1769442024.1108
MEM 73.417969 1769442024.2111
MEM 77.066406 1769442024.3114
MEM 80.914062 1769442024.4118
MEM 84.648438 1769442024.5122
MEM 88.046875 1769442024.6127
MEM 79.589844 1769442024.7131
MEM 82.730469 1769442024.8134
MEM 86.386719 1769442024.9138
MEM 90.027344 1769442025.0142
MEM 81.007812 1769442025.1145
MEM 84.773438 1769442025.2149
MEM 88.378906 1769442025.3153
MEM 80.589844 1769442025.4156
MEM 83.136719 1769442025.5160
MEM 86.765625 1769442025.6164
MEM 87.257812 1769442025.7168
MEM 81.589844 1769442025.8172
MEM 85.179688 1769442025.9175
MEM 88.808594 1769442026.0179
MEM 81.593750 1769442026.1183
MEM 83.605469 1769442026.2186
MEM 87.210938 1769442026.3191
MEM 82.269531 1769442026.4194
MEM 82.593750 1769442026.5198
MEM 85.664062 1769442026.6201
MEM 89.289062 1769442026.7205
MEM 82.593750 1769442026.8209
MEM 84.062500 1769442026.9213
MEM 87.675781 1769442027.0217
MEM 83.269531 1769442027.1220
MEM 83.593750 1769442027.2224
MEM 86.058594 1769442027.3228
MEM 89.679688 1769442027.4231
MEM 66.601562 1769442027.5236
