FUNC __main__.evolve 50.0430 1769438463.5188 65.9180 1769438463.7240 1
FUNC __main__.evolve 63.4297 1769438463.7240 78.6641 1769438463.9154 1
FUNC __main__.evolve 63.0977 1769438463.9313 78.6055 1769438464.1220 1
FUNC __main__.evolve 64.0938 1769438464.1220 78.6016 1769438464.3278 1
FUNC __main__.evolve 64.5391 1769438464.3278 78.5664 1769438464.5179 1
FUNC __main__.evolve 65.0703 1769438464.5337 78.5742 1769438464.7234 1
FUNC __main__.evolve 64.5859 1769438464.7234 78.5859 1769438464.9287 1
FUNC __main__.evolve 65.8477 1769438464.9287 78.5938 1769438465.1189 1
FUNC __main__.evolve 65.5898 1769438465.1189 78.5977 1769438465.3261 1
FUNC __main__.evolve 66.3477 1769438465.3261 78.6016 1769438465.5172 1
FUNC __main__.run_experiment 46.8633 1769438463.5188 49.5977 1769438465.5330 0
CMDLINE C:\Users\Roger\anaconda3\envs\3.8dd2358\python.exe task1.py
MEM 2.152344 1769438463.0470
MEM 19.375000 1769438463.1538
MEM 30.195312 1769438463.2649
MEM 38.269531 1769438463.3757
MEM 44.996094 1769438463.4868
MEM 57.285156 1769438463.5977
MEM 64.296875 1769438463.7082
MEM 71.640625 1769438463.8196
MEM 74.914062 1769438463.9313
MEM 73.097656 1769438464.0424
MEM 67.144531 1769438464.1535
MEM 74.468750 1769438464.2646
MEM 68.585938 1769438464.3750
MEM 75.808594 1769438464.4861
MEM 70.191406 1769438464.5972
MEM 77.191406 1769438464.7076
MEM 71.578125 1769438464.8182
MEM 78.515625 1769438464.9287
MEM 73.085938 1769438465.0398
MEM 67.839844 1769438465.1508
MEM 74.464844 1769438465.2627
MEM 68.644531 1769438465.3733
MEM 75.863281 1769438465.4854
