   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    405/1    0.013    0.000   28.610   28.610 {built-in method builtins.exec}
        1    0.000    0.000   28.610   28.610 activematter.py:1(<module>)
        1    4.767    4.767   26.776   26.776 activematter.py:13(main)
      200    0.003    0.000   10.380    0.052 /usr/lib/python3.14/site-packages/matplotlib/pyplot.py:734(pause)
      401    0.009    0.000    7.594    0.019 /usr/lib/python3.14/site-packages/matplotlib/backends/backend_agg.py:375(draw)
      401    0.001    0.000    7.537    0.019 /usr/lib/python3.14/site-packages/matplotlib/artist.py:92(draw_wrapper)
 8020/401    0.046    0.000    7.536    0.019 /usr/lib/python3.14/site-packages/matplotlib/artist.py:53(draw_wrapper)
      401    0.010    0.000    7.532    0.019 /usr/lib/python3.14/site-packages/matplotlib/figure.py:3237(draw)
      201    0.023    0.000    7.423    0.037 /usr/lib/python3.14/site-packages/matplotlib/axes/_base.py:1445(clear)
      201    0.029    0.000    7.393    0.037 /usr/lib/python3.14/site-packages/matplotlib/axes/_base.py:1313(__clear)
      200    0.001    0.000    7.299    0.036 /usr/lib/python3.14/site-packages/matplotlib/pyplot.py:1380(cla)
      200    0.001    0.000    7.291    0.036 /usr/lib/python3.14/site-packages/matplotlib/axes/_base.py:1454(cla)
  802/401    0.011    0.000    7.105    0.018 /usr/lib/python3.14/site-packages/matplotlib/image.py:116(_draw_list_compositing_images)
      401    0.015    0.000    7.098    0.018 /usr/lib/python3.14/site-packages/matplotlib/axes/_base.py:3161(draw)
      402    0.011    0.000    6.244    0.016 /usr/lib/python3.14/site-packages/matplotlib/axis.py:845(clear)
      401    0.005    0.000    6.225    0.016 /usr/lib/python3.14/site-packages/matplotlib/quiver.py:581(draw)
      200    0.005    0.000    6.221    0.031 /usr/lib/python3.14/site-packages/matplotlib/backend_bases.py:2342(start_event_loop)
 1598/802    0.014    0.000    6.010    0.007 /usr/lib/python3.14/site-packages/matplotlib/axis.py:1115(set_clip_path)
 1202/406    0.052    0.000    5.585    0.014 /usr/lib/python3.14/site-packages/matplotlib/axis.py:888(reset_ticks)
 1600/406    0.037    0.000    5.046    0.012 /usr/lib/python3.14/site-packages/matplotlib/axis.py:534(__get__)
 1600/406    0.012    0.000    5.022    0.012 /usr/lib/python3.14/site-packages/matplotlib/axis.py:1585(_get_tick)
      200    0.019    0.000    4.189    0.021 /usr/lib/python3.14/site-packages/matplotlib/backends/backend_gtk4.py:323(flush_events)
     1000    0.203    0.000    4.170    0.004 /usr/lib/python3.14/site-packages/gi/overrides/GLib.py:573(iteration)
      200    0.002    0.000    4.146    0.021 /usr/lib/python3.14/site-packages/matplotlib/pyplot.py:568(show)
      200    0.002    0.000    4.140    0.021 /usr/lib/python3.14/site-packages/matplotlib/backend_bases.py:3523(show)
      200    0.249    0.001    4.138    0.021 /usr/lib/python3.14/site-packages/matplotlib/backends/_backend_gtk.py:218(show)
7200/1624    0.043    0.000    3.997    0.002 /usr/lib/python3.14/site-packages/matplotlib/spines.py:346(get_spine_transform)
7200/1624    0.004    0.000    3.982    0.002 /usr/lib/python3.14/site-packages/matplotlib/spines.py:203(_ensure_position_is_set)
  800/402    0.005    0.000    3.981    0.010 /usr/lib/python3.14/site-packages/matplotlib/spines.py:306(set_position)
      200    0.002    0.000    3.901    0.020 /usr/lib/python3.14/site-packages/matplotlib/backends/backend_gtk4.py:266(_draw_func)
      200    0.032    0.000    3.898    0.019 /usr/lib/python3.14/site-packages/matplotlib/backends/backend_gtk4agg.py:13(on_draw_event)
      601    0.365    0.001    3.851    0.006 /usr/lib/python3.14/site-packages/matplotlib/collections.py:1206(set_verts)
   202524    0.505    0.000    3.534    0.000 /usr/lib/python3.14/site-packages/matplotlib/path.py:99(__init__)
     1600    0.111    0.000    2.985    0.002 /usr/lib/python3.14/site-packages/matplotlib/axis.py:59(__init__)
   200000    0.532    0.000    2.702    0.000 /usr/lib/python3.14/site-packages/numpy/_core/fromnumeric.py:2304(sum)
  800/203    0.020    0.000    2.540    0.013 /usr/lib/python3.14/site-packages/matplotlib/axis.py:367(__init__)
  800/203    0.019    0.000    2.479    0.012 /usr/lib/python3.14/site-packages/matplotlib/axis.py:428(__init__)
   670/54    0.005    0.000    2.184    0.040 <frozen importlib._bootstrap>:1360(_find_and_load)
   491/10    0.005    0.000    2.183    0.218 <frozen importlib._bootstrap>:1308(_find_and_load_unlocked)
   471/11    0.003    0.000    2.181    0.198 <frozen importlib._bootstrap>:914(_load_unlocked)
   393/11    0.002    0.000    2.181    0.198 <frozen importlib._bootstrap_external>:753(exec_module)
  1375/16    0.002    0.000    2.166    0.135 <frozen importlib._bootstrap>:483(_call_with_frames_removed)
   200002    0.692    0.000    2.045    0.000 /usr/lib/python3.14/site-packages/numpy/_core/fromnumeric.py:66(_wrapreduction)
   735/18    0.002    0.000    2.029    0.113 {built-in method builtins.__import__}
      200    2.027    0.010    2.027    0.010 {built-in method time.sleep}
7600/1015    0.013    0.000    2.020    0.002 /usr/lib/python3.14/site-packages/matplotlib/axes/_base.py:964(get_xaxis_transform)
7600/1015    0.011    0.000    1.984    0.002 /usr/lib/python3.14/site-packages/matplotlib/axes/_base.py:1046(get_yaxis_transform)
      401    0.003    0.000    1.903    0.005 /usr/lib/python3.14/site-packages/matplotlib/collections.py:1005(draw)
     8190    0.132    0.000    1.894    0.000 /usr/lib/python3.14/site-packages/matplotlib/artist.py:784(set_clip_path)
2146/1668    0.006    0.000    1.877    0.001 <frozen importlib._bootstrap>:1401(_handle_fromlist)
      401    0.014    0.000    1.875    0.005 /usr/lib/python3.14/site-packages/matplotlib/collections.py:352(draw)
      401    1.552    0.004    1.791    0.004 {built-in method matplotlib.backends._backend_agg.draw_path_collection}
    21860    0.269    0.000    1.703    0.000 /usr/lib/python3.14/site-packages/matplotlib/artist.py:1188(_update_props)
     3196    0.013    0.000    1.483    0.000 /usr/lib/python3.14/site-packages/matplotlib/axis.py:234(set_clip_path)
    18053    0.022    0.000    1.472    0.000 /usr/lib/python3.14/site-packages/matplotlib/artist.py:1226(_internal_update)
    10596    0.035    0.000    1.430    0.000 /usr/lib/python3.14/site-packages/matplotlib/patches.py:307(get_transform)
    13051    0.029    0.000    1.385    0.000 /usr/lib/python3.14/site-packages/matplotlib/artist.py:146(<lambda>)
   202527    0.946    0.000    1.371    0.000 /usr/lib/python3.14/site-packages/matplotlib/_api/__init__.py:147(check_shape)
     4800    0.176    0.000    1.362    0.000 /usr/lib/python3.14/site-packages/matplotlib/lines.py:301(__init__)
    13051    0.029    0.000    1.356    0.000 /usr/lib/python3.14/site-packages/matplotlib/artist.py:1237(set)
   204823    1.310    0.000    1.310    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     8992    0.125    0.000    1.248    0.000 /usr/lib/python3.14/site-packages/matplotlib/patches.py:800(get_patch_transform)
   202524    0.409    0.000    1.240    0.000 /usr/lib/python3.14/site-packages/matplotlib/path.py:202(_update_values)
   610593    0.541    0.000    1.224    0.000 /usr/lib/python3.14/site-packages/matplotlib/__init__.py:781(__getitem__)
        1    0.001    0.001    1.135    1.135 /usr/lib/python3.14/site-packages/matplotlib/pyplot.py:1(<module>)
     3807    0.023    0.000    1.003    0.000 /usr/lib/python3.14/site-packages/matplotlib/text.py:104(__init__)
1513/1422    0.037    0.000    0.892    0.001 {built-in method builtins.__build_class__}
     2406    0.021    0.000    0.707    0.000 /usr/lib/python3.14/site-packages/matplotlib/patches.py:633(draw)
     4611    0.068    0.000    0.686    0.000 /usr/lib/python3.14/site-packages/matplotlib/text.py:157(_reset_visual_defaults)
        1    0.001    0.001    0.685    0.685 /usr/lib/python3.14/site-packages/matplotlib/__init__.py:1(<module>)
   610921    0.406    0.000    0.682    0.000 /usr/lib/python3.14/site-packages/matplotlib/__init__.py:701(_get)
      106    0.008    0.000    0.640    0.006 /usr/lib/python3.14/site-packages/matplotlib/artist.py:158(_update_set_signature_and_docstring)
      105    0.001    0.000    0.630    0.006 /usr/lib/python3.14/site-packages/matplotlib/artist.py:125(__init_subclass__)
        1    0.000    0.000    0.581    0.581 /usr/lib/python3.14/site-packages/matplotlib/figure.py:1(<module>)
 1202/802    0.032    0.000    0.546    0.001 /usr/lib/python3.14/site-packages/matplotlib/axis.py:1195(_set_lim)
314109/307553    0.208    0.000    0.543    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.540    0.540 /usr/lib/python3.14/site-packages/matplotlib/projections/__init__.py:1(<module>)
      120    0.001    0.000    0.491    0.004 /usr/lib/python3.14/site-packages/matplotlib/artist.py:1832(kwdoc)
   751253    0.388    0.000    0.476    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.471    0.471 /usr/lib/python3.14/site-packages/matplotlib/image.py:1(<module>)
